Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Семенченко,Євген,Марківич,male,1974-10-31,Менеджер з продажу,хутір Красноперекопськ,"сквер Демократична, буд. 90 кв. 506, Герца, 11376",+380 38 756 60 30,makohonpanas@example.org
Хорішко,Василина,Василівна,female,1966-02-15,Дизайнер,село Єнакієве,"узвіз Мелітопольська, буд. 822, Конотоп, 23275",+380 73 341-27-12,sviatoslava08@example.net
Заруба,Людмила,Григоріївна,female,1955-02-04,Системний адміністратор,село Бобринець,"сквер Машинобудівний, буд. 427, Кам'янець-Подільський, 74811",+380 (28) 568-26-46,roman02@example.com
Дробʼязко,Віолетта,Кирилівна,female,1986-05-16,Дизайнер,село Гола Пристань,"сквер Горбиста, буд. 698 кв. 376, Хмельницький, 89843",948 25 35,iryna33@example.org
Товстоліс,Олександр,Леонідович,male,1939-01-01,Тестувальник,село Христинівка,"узвіз Сталепрокатна, буд. 72, Шаргород, 06657",060 302 47 60,khoma11@example.org
Баклан,Ірена,Олегівна,female,1973-01-14,Копірайтер,селище Білгород-Дністровський,"проспект Райдужна, буд. 330, Гірник , 93703",071 110 41 86,petrenkomykyta@example.net
Зубко,Леон,Максимович,male,1956-03-31,Аудитор,хутір Новодружеськ,"площа Фабрична, буд. 3 кв. 3, Балаклія, 93478",+380 86 218-76-57,hrebryk@example.org
Ажажа,Анастасія,Кирилівна,female,2005-06-12,Менеджер з маркетингу,селище Броди,"набережна Бузковий 2-й, буд. 204 кв. 145, Балта, 83750",+380 51 322-83-64,hryhoriiiakymenko@example.com
Джунь,Ігор,Станіславович,male,1993-10-03,Бухгалтер,селище Кременчук,"набережна Світлий, буд. 9 кв. 29, Яворів, 86917",099 733-94-99,anastasiia94@example.org
Талан,Орина,Тарасівна,female,1970-07-25,Системний адміністратор,хутір Теребовля,"парк Дельфін, буд. 11, Снятин, 71732",733 95 94,shylolevko@example.net
Жадан,Ірена,Олегівна,female,1945-07-10,Асистент керівника,селище Марганець ,"вулиця Садова 6-та, буд. 35 кв. 446, Армянськ, 14942",+380 89 036-83-22,ismyk@example.com
Засенко,Юстим,Мар'янович,male,1995-12-10,PR-менеджер,село Сарни,"провулок П'ята, буд. 67, Федорівка, 35886",015 095 32 81,ivan95@example.com
Терещенко,Онисим,Леонідович,male,1968-03-14,Менеджер з продажу,хутір Чугуїв,"шосе Ланжеронівська, буд. 3 кв. 55, Остер , 41930",077 539 26 67,valerii56@example.com
Заїка,Маруся,Володимирівна,female,1993-01-29,Системний адміністратор,місто Болград,"сквер Академіка Ясиновського, буд. 2 кв. 9, Кремінна, 72879",+380 (31) 279-00-90,htsymbal@example.org
Гавриш,Олег,Ігорович,male,1998-12-19,Асистент керівника,село Міусинськ,"парк Вчительська, буд. 67 кв. 878, Авдіївка, 24005",+380 (40) 077-14-19,mariia09@example.net
Скопенко,Юстина,Остапівна,female,1979-12-04,PR-менеджер,селище Кремінна,"вулиця Кренкеля, буд. 53, Бершадь, 72437",936 35 98,rebrykolha@example.net
Данченко,Опанас,Данилович,male,1962-03-21,Програміст,хутір Заставна,"площа Балтський 7-й, буд. 327, Нікополь, 87007",048-18-36,svyrydenkovalerii@example.org
Дерегус,Ярина,Геннадіївна,female,1983-10-08,Аналітик даних,село Нова Одеса,"вулиця Утьосова, буд. 83 кв. 892, Роздільна, 41844",+380 (91) 787-34-84,niaremenko@example.net
Гуцуляк,Прохір,Марківич,male,1990-04-29,Менеджер з продукту,хутір Рахів,"набережна Пироговський, буд. 328, Надвірна, 90603",481 50 67,wudovychenko@example.org
Шамрай,Стефан,Давидович,male,1970-06-06,Менеджер з закупівель,селище Ржищів,"сквер Лермонтовський, буд. 8 кв. 8, Підгородне, 20874",740-14-58,zievtushenko@example.net
Вернигора,Оксенія,Василівна,female,1951-03-04,Аудитор,хутір Іршава,"сквер Бучми, буд. 4 кв. 5, Зугрес, 71993",+380 05 467-66-02,ezaichenko@example.org
Нестайко,Омелян,Романович,male,1959-11-13,Аудитор,селище Радомишль,"шосе Санітарна, буд. 3 кв. 76, Родинське, 28774",053 81 41,anita40@example.net
Байдак,Анжела,Костянтинівна,female,1991-08-22,Аудитор,місто Новояворівськ,"провулок Каманіна, буд. 2 кв. 5, Бахмут, 66812",+380 (19) 690-11-33,spas87@example.org
Гайдай,Юстим,Юрійович,male,1996-05-06,Фінансовий аналітик,селище Миколаїв,"провулок Літня, буд. 2 кв. 815, Кривий Ріг, 84833",005 404 99 52,andreikohryhorii@example.org
Гаєвський,Ярослава,Кирилівна,female,1972-07-06,Фінансовий аналітик,село Городище ,"вулиця Прирейкова, буд. 47 кв. 2, Українка , 86349",+380 (84) 015-08-70,oles44@example.com
Атаманюк,Андрій,Станіславович,male,1960-01-09,PR-менеджер,село Липовець,"набережна Желябова, буд. 89 кв. 3, Олександрівськ, 68303",+380 63 924-53-08,ivanenkolarysa@example.com
Щорс,Тимофій,Андрійович,male,1948-03-10,Копірайтер,селище Авдіївка,"шосе Бахчева, буд. 23, Кривий Ріг, 44867",+380 01 712-81-77,klavdiia16@example.org
Непорожній,Омелян,Назарович,male,1996-06-17,Менеджер з маркетингу,хутір Нова Одеса,"сквер Яружний, буд. 3, Нетішин, 56418",031 075 63 34,albina17@example.com
Гаврилів,Христина,Ярославівна,female,1983-12-23,Архітектор,хутір Молочанськ,"шосе Улітіна, буд. 78 кв. 70, Сокиряни, 83461",+380 18 640 18 27,nazarabramchuk@example.net
Лаба,Пріска,Ярославівна,female,1990-09-15,Системний адміністратор,місто Бердянськ,"вулиця Жоліо-Кюрі, буд. 9 кв. 9, Зимогір'я, 31421",418 78 33,ruslankybkalo@example.org
Ісаєнко,Давид,Геннадійович,male,1943-12-05,Дизайнер,селище Угнів,"парк Чорноморський, буд. 573, Обухів, 95296",017 819 77 63,derhachvadym@example.net
Ващук,Богданна,Марківна,female,1996-12-05,Системний адміністратор,місто Павлоград,"узвіз Баштанна, буд. 89 кв. 254, Феодосія, 41325",+380 92 017-45-97,shchyrytsiaamaliia@example.org
Юрчук,Охрім,Зеновійович,male,1987-06-26,HR-менеджер,село Алушта,"парк Кримська, буд. 0 кв. 04, Макіївка, 70602",+380 85 780-17-96,viacheslav47@example.org
Килимник,Тетяна,Олександрівна,female,1938-01-13,Кадровий менеджер,село Вараш,"парк Гвоздична, буд. 274 кв. 5, Запоріжжя, 73597",+380 84 588-81-98,ytytarenko@example.net
Чарниш,Богуслава,Станіславівна,female,1985-11-15,Менеджер з продажу,селище Дубляни,"площа Левітана, буд. 226, Буча, 90754",012 476 54 82,vasylbaran@example.org
Цюпа,Андрій,Олександрович,male,2005-01-22,Аудитор,селище Новоазовськ,"шосе Хімічна, буд. 9, Лисичанськ, 75331",+380 00 325-87-83,liashkooleksa@example.net
Романець,Клавдія,Захарівна,female,2004-05-11,Менеджер з маркетингу,місто Дрогобич,"площа Олександра Вронського, буд. 041 кв. 09, Хотин, 71318",+380 61 992-46-64,larysatereshchenko@example.com
Товстоліс,Ярина,Романівна,female,1965-09-24,PR-менеджер,село Синельникове,"парк Садова 5-та, буд. 2 кв. 9, Сновськ, 48680",529-43-82,civanychuk@example.com
Деревʼянко,Арсен,Федорович,male,1938-11-02,Тестувальник,хутір Зеленодольськ,"сквер Волниста, буд. 89 кв. 690, Тиврів, 48402",+380 37 949 14 49,martynzaika@example.org
Гук,Святослава,Павлівна,female,1950-08-22,Копірайтер,село Лутугине,"шосе Розкидайлівська, буд. 6 кв. 0, Одеса, 58904",020 49 58,orkhyp18@example.com
Дрозденко,Христина,Сергіївна,female,1953-10-08,Офіс-менеджер,хутір Керч,"парк Довженка, буд. 00, Горішні Плавні, 21671",+380 (77) 918-36-23,krudko@example.net
Петлюра,Михайлина,Василівна,female,1996-12-19,Бухгалтер,місто Ківерці,"площа Привозна, буд. 574, Білицьке, 77099",458 48 09,okhrim52@example.net
Байда,Камілла,Марківна,female,2004-06-08,Менеджер з маркетингу,хутір Федорівка,"провулок Романа Кармена, буд. 64 кв. 8, Білогірськ, 75078",464-49-78,allaromanets@example.net
Семенченко,Орхип,Тимофійович,male,1964-07-14,Аналітик даних,хутір Прилуки,"проспект Флотський 1-й, буд. 4, Ворожба, 55837",921 45 25,rakiakiv@example.com
Супруненко,Аврелій,Геннадійович,male,1996-05-03,Інженер з якості,місто Першотравенськ,"площа Сонячна, буд. 88 кв. 64, Овруч, 59927",674-52-43,nadiia43@example.net
Свистун,Едуард,Федорович,male,1985-12-14,Бухгалтер,село Чорноморськ,"набережна Вапняний 3-й, буд. 50, Сніжне, 02103",037 253 80 16,ieva19@example.com
Деряжний,Володимира,Денисівна,female,1986-10-11,Офіс-менеджер,село Корюківка,"проспект Південна дорога, буд. 81, Іловайськ, 32419",011 894-33-53,dubenkoemiliia@example.org
Лазаренко,Лесь,Захарович,male,1964-03-22,Тестувальник,місто Новгород-Сіверський,"площа Паустовського, буд. 1 кв. 7, Святогірськ, 03805",040 789 22 33,dcherinko@example.com
Петрик,Максим,Костянтинович,male,1982-09-30,HR-менеджер,хутір Монастирище,"проспект Бучми, буд. 6 кв. 87, Лутугине, 26896",028 530-70-94,uiaremkiv@example.org
Гуцуляк,Едуард,Максимович,male,2004-11-16,Менеджер з закупівель,селище Горішні Плавні,"набережна Соборна, буд. 04, Тульчин, 09186",422 18 70,dakhnooksana@example.net
Редько,Марʼяна,Кирилівна,female,1968-12-20,Офіс-менеджер,село Здолбунів,"набережна Отамана Головатого, буд. 72 кв. 479, Снігурівка, 17897",998 00 15,amaliia68@example.org
Гаврилишин,Миколай,Зеновійович,male,1970-04-21,Архітектор,хутір Золоте,"площа Корнюшина, буд. 561 кв. 902, Немирів, 60296",+380 16 028-42-35,eartym@example.com
Андрейко,Пармен,Назарович,male,1949-05-27,Менеджер з продажу,село Очаків,"узвіз 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 16 кв. 336, Часів Яр, 31347",028 749 78 55,andreikopylyp@example.org
Давимука,Олена,Василівна,female,1971-11-06,Менеджер з продукту,місто Тростянець,"шосе Артезіанська, буд. 2 кв. 9, Кодима, 23786",048 743-45-71,pavloshutko@example.com
Яремко,Данна,Мар'янівна,female,1959-11-14,Кадровий менеджер,місто Дніпро ,"парк В’ячеслава Чорновола, буд. 09 кв. 46, Новий Буг, 12291",+380 47 983 71 01,ielysaveta23@example.net
Штокало,Христина,Романівна,female,1965-07-26,Дизайнер,селище Рогатин,"узвіз 6-та Лінія 6-й ст. Люстдорфської дороги, буд. 7, Біляївка, 89595",086 120-03-71,petroskoryk@example.com
Авдєєнко,Остап,Григорійович,male,1997-04-11,Інженер з якості,хутір Хотин,"шосе ім. К.Г. Паустовського, буд. 3, Шпола, 37429",591 06 91,iefrem96@example.org
Аврамчук,Богданна,Геннадіївна,female,1971-03-22,Тестувальник,село Тиврів,"провулок 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 1, Мена , 49671",039 658-26-12,mykytademianenko@example.com
Твердохліб,Марта,Назарівна,female,2000-12-24,Тестувальник,хутір Токмак,"узвіз Каретний, буд. 5 кв. 48, Хмільник, 02994",+380 26 697 32 61,klavdiia84@example.com
Іващенко,Спас,Давидович,male,1945-10-02,Менеджер з продажу,село Луцьк,"набережна Водопровідна, буд. 824 кв. 30, Решетилівка, 99406",+380 67 311-33-90,hnestaiko@example.org
Голобородько,Едита,Станіславівна,female,1991-06-08,Інженер з якості,село Нікополь,"парк Лиманчик 2-й Лінія 5-та, буд. 0, Берегове, 02595",+380 78 861-58-61,andriievychorkhyp@example.com
Ємець,Віктор,Павлович,male,1973-10-24,Інженер з якості,село Київ,"набережна Качалова, буд. 056, Зоринськ, 65347",421-42-69,iustyna72@example.org
Франчук,Олена,Андріївна,female,1996-10-21,Бухгалтер,місто Тлумач,"проспект Ціолковського, буд. 72 кв. 64, Кам'янець-Подільський, 21772",+380 (03) 253-69-58,avrelii26@example.com
Атрощенко,Руслан,Остапович,male,1998-11-18,Бухгалтер,село Олександрія,"площа Академіка Воробйова, буд. 94, Красноград, 62421",+380 77 099-09-42,chalenkomartyn@example.org
Шеремета,Гліб,Данилович,male,1956-04-18,Менеджер з продукту,хутір Полонне,"набережна Виїзна, буд. 800, Скалат, 79982",+380 (60) 860-10-39,feofan91@example.net
Ґереґа,Маруся,Назарівна,female,2006-01-22,Менеджер з закупівель,місто Рені,"сквер Хімічна, буд. 36, Хирів, 47457",981-71-51,dannaizhak@example.net
Василечко,Валерій,Тимофійович,male,1943-07-06,Менеджер з закупівель,хутір Богодухів,"сквер Травневий 4-й, буд. 20 кв. 826, Рахів, 78375",904 95 06,avrelii02@example.net
Яременко,Роксолана,Борисівна,female,1942-09-17,Асистент керівника,селище Борислав,"площа Комітетська, буд. 22, Гуляйполе, 84248",071 666-72-73,teodor49@example.org
Міщенко,Симон,Ярославович,male,2005-10-06,Асистент керівника,селище Кам'янка (Черкаська область),"проспект Четверта, буд. 135 кв. 6, Антрацит , 01583",+380 29 154-90-03,anastasiiaiemets@example.org
Ванченко,Віталій,Захарович,male,1983-12-09,Менеджер з закупівель,хутір Кипуче,"сквер Богуна, буд. 531 кв. 22, Надвірна, 24721",560-68-92,ggalagan@example.com
Дейсун,Анжела,Захарівна,female,1958-06-18,Інженер з якості,місто Прип'ять ,"парк Сумська, буд. 425, Болград, 09636",+380 97 384-25-61,sviatoslava06@example.org
Охримович,Григорій,Іванович,male,1983-08-22,Програміст,хутір Шаргород,"площа Ямська, буд. 920, Долинська, 35305",593-46-24,avatamaniuk@example.com
Юрченко,Єлисавета,Сергіївна,female,1964-09-22,Кадровий менеджер,село Торецьк,"провулок Чорноморський 11-й, буд. 79 кв. 43, Бунге , 04412",030 343 00 51,tvakarchuk@example.org
Оліфіренко,Наталія,Марківна,female,1976-01-01,Кадровий менеджер,хутір Олешки,"узвіз Чапаєва, буд. 510 кв. 67, Камінь-Каширський, 16372",007 973-42-62,medvedenkosolomiia@example.net
Павличенко,Орхип,Кирилович,male,1996-09-02,Аудитор,хутір Ромни,"узвіз Шкодова гора, буд. 86 кв. 99, Сокиряни, 90547",068 557-08-23,tetiana02@example.org
Рубець,Федір,Леонідович,male,1956-12-14,Дизайнер,селище Хуст,"узвіз Мечникова, буд. 199, Вижниця, 84462",+380 (15) 541-47-45,viacheslavbaranets@example.com
Цюцюра,Борис,Денисович,male,1978-11-01,Програміст,хутір Люботин,"вулиця Нечипуренка, буд. 9 кв. 406, Ланівці, 85819",+380 61 402 99 77,okhrimenkoillia@example.net
Фартушняк,Тетяна,Тарасівна,female,1993-04-23,HR-менеджер,місто Вовчанськ,"проспект Пантелеймонівська, буд. 35, Мерефа, 56638",+380 64 694-24-24,jkolesnychenko@example.com
Авдєєнко,Борислав,Геннадійович,male,2006-12-14,Тестувальник,місто Деражня,"сквер Сортувальна 1-ша, буд. 455, Підгородне, 71314",905-24-90,tetianamoskal@example.net
Артеменко,Альбіна,Костянтинівна,female,2001-07-11,Асистент керівника,селище Буча,"вулиця Садова 3-тя, буд. 507, Хмельницький, 62494",053 069-56-97,bohuslav26@example.net
Мазур,Гордій,Кирилович,male,1980-08-04,Асистент керівника,місто Миронівка,"провулок Наявний 5-й, буд. 3, Кролевець, 27970",215-33-30,abramenkofeofan@example.net
Ребрик,Сніжана,Володимирівна,female,2000-03-14,HR-менеджер,хутір Бобровиця,"парк Аеропортівський 6-й, буд. 6, Алмазна, 63702",015 146 77 47,xandriienko@example.net
Устенко,Лілія,Федорівна,female,1946-07-19,Фінансовий аналітик,селище Світловодськ,"набережна Кривобалківська, буд. 318 кв. 807, Волноваха, 76873",170-22-86,adavydenko@example.org
Сірко,Тарас,Остапович,male,1944-03-25,Копірайтер,хутір Любомль,"провулок Лиманний, буд. 2 кв. 23, Васильків, 48901",624-08-15,hordii32@example.org
Мазур,Наталія,Станіславівна,female,1992-08-17,Тестувальник,хутір Святогірськ,"шосе Степна, буд. 05, Мирноград, 69306",837-58-10,myroslavpavlychenko@example.net
Рябець,Дмитро,Захарович,male,1974-07-14,Системний адміністратор,село Зборів,"проспект Тульська, буд. 200, Ржищів, 84962",534-21-20,haidenkohennadii@example.net
Шовкопляс,Дарина,Тарасівна,female,1973-07-18,Архітектор,хутір Тлумач,"шосе Ванний, буд. 2, Тульчин, 01891",031 341 14 56,taras82@example.com
Москаль,Варфоломій,Марківич,male,1978-04-02,Тестувальник,село Волноваха,"площа Академіка Воробйова, буд. 12, Тисмениця, 60980",+380 40 722 77 24,ookhrymovych@example.com
Вертипорох,Марта,Ярославівна,female,1956-03-11,PR-менеджер,село Узин,"шосе Рівності 2-й, буд. 10, Лиман , 96120",683 34 27,iurchyshynbohuslav@example.net
Чередник,Ілля,Марківич,male,1978-02-13,Копірайтер,місто Помічна,"проспект Бернардацці, буд. 1 кв. 198, Тлумач, 43519",+380 40 477-50-46,boleslav41@example.net
Орлик,Данило,Михайлович,male,1942-02-19,Офіс-менеджер,місто Рівне,"парк Шишкіна, буд. 30 кв. 21, Ржищів, 63765",+380 42 836-87-08,chuikoalla@example.org
Зарудний,Михайло,Тимофійович,male,1976-09-25,Менеджер з продажу,місто Шаргород,"площа Лютневий 2-й, буд. 337 кв. 03, Кропивницький, 28013",+380 35 034-75-92,semenchenkoleopold@example.net
Доценко,Ігор,Остапович,male,1988-04-17,Інженер з якості,селище Фастів,"сквер Морехідний, буд. 892 кв. 5, Євпаторія, 07645",040 845-51-79,azhazhaboryslav@example.com
Москаль,Мирон,Павлович,male,1961-08-25,Аналітик даних,селище Шаргород,"проспект Дунаєвського 3-й, буд. 597 кв. 184, Лиман , 97999",+380 14 634-94-72,iatsenkokhrystyna@example.com
Смик,Макар,Михайлович,male,1992-02-08,Тестувальник,село Курахове,"парк Степана Разіна, буд. 234, Географія Вільнянська, 38956",+380 10 067-49-64,allaieremenko@example.org
Карась,Світлана,Костянтинівна,female,1953-06-06,Асистент керівника,селище Довжанськ,"вулиця Панаса Мирного, буд. 635, Бахмут, 19843",044 245-33-24,zasiadkoroksolana@example.com
Артюшенко,Антон,Зеновійович,male,1970-01-08,Архітектор,селище Балаклія,"набережна Круговий, буд. 975, Виноградів, 58774",018 677 28 18,oles58@example.net
Шевченко,Сніжана,Борисівна,female,1942-11-05,Менеджер з продажу,хутір Угнів,"шосе Виноградний тупик, буд. 3 кв. 62, Петрово-Красносілля, 77776",061 356 93 15,qzhaivoron@example.com
Артимишин,Богдан,Зеновійович,male,1960-01-15,Бухгалтер,село Запоріжжя,"парк Заводська, буд. 28, Добропілля, 06256",+380 61 538-70-01,kyrylo58@example.com
Захарченко,Ілля,Ярославович,male,1939-01-29,Системний адміністратор,місто Судова Вишня,"узвіз Скидановська, буд. 12 кв. 558, Сокаль, 28206",068 185 62 53,jvertyporokh@example.org
Вахній,Борис,Максимович,male,1986-04-08,Архітектор,селище Хорол ,"набережна Чорноморський 11-й, буд. 44, Миколаїв, 89358",430-14-23,vshcherbak@example.org
Матяш,Юхим,Іванович,male,1976-09-17,Менеджер з закупівель,селище Рівне,"площа Віцеадмірала Жукова, буд. 879, Рені, 45335",+380 28 582-25-88,avrelii70@example.com
Гоголь-Яновський,Гліб,Андрійович,male,1968-07-29,Менеджер з продажу,хутір Південне ,"узвіз Західний 1-й, буд. 7, Радомишль, 78384",301 21 34,utychyna@example.org
Комар,Сергій,Кирилович,male,1942-11-30,Менеджер з закупівель,село Балаклія,"узвіз Проїзний 2-й, буд. 60 кв. 29, Виноградів, 06741",053 969-04-03,chuprynaroman@example.net
Верес,Теодор,Петрович,male,1944-09-14,Аналітик даних,місто Білицьке,"вулиця Керченський 1-й, буд. 46, Жовква, 68831",+380 19 111 32 93,uhutsuliak@example.net
Туркало,Стефан,Васильович,male,1966-12-20,Фінансовий аналітик,селище Бершадь,"проспект Курська, буд. 297 кв. 276, Токмак, 38734",021 028-19-50,halyna29@example.com
Фастенко,Олександр,Андрійович,male,1984-02-10,Менеджер з продажу,село Радивилів,"сквер Одеський, буд. 059, Хорол , 73980",048 522 19 51,kyrylochmil@example.com
Токар,Ростислав,Романович,male,2004-06-07,Менеджер з закупівель,село Першотравенськ,"вулиця Італійський, буд. 544 кв. 25, Гола Пристань, 13122",+380 09 275-03-59,tymofiibazylevych@example.net
Гоголь,Розалія,Василівна,female,1966-12-08,Аналітик даних,село Конотоп,"шосе Сонячна, буд. 19 кв. 236, Зоринськ, 42249",096 86 55,arkadiiandrusenko@example.org
Батуринець,Пилип,Тимофійович,male,1984-12-30,Інженер з якості,місто Великі Мости,"набережна Івана Микитенка, буд. 5, Знам'янка, 88575",079 151 26 91,nestor61@example.org
Штепа,Борислав,Олегович,male,1945-10-18,Менеджер з продукту,місто Чернігів,"сквер Маринеско узвіз, буд. 243, Кадіївка, 35665",+380 (76) 835-03-82,sbezborodko@example.org
Носенко,Устим,Олегович,male,1948-02-17,Кадровий менеджер,хутір Хоростків,"вулиця Азербайджан, буд. 2, Андрушівка, 61898",076 473-90-96,teslialiudmyla@example.com
Шамрай,Юстина,Євгенівна,female,1968-06-13,HR-менеджер,хутір Джанкой,"вулиця Тупиковий 1-й, буд. 971, Охтирка, 41795",896 36 04,dshablii@example.org
Башполченко,Ігор,Давидович,male,2003-05-28,Дизайнер,селище Моршин,"провулок Ключовий 2-й, буд. 433, Маріуполь, 10365",+380 09 368-52-02,petrochmil@example.net
Оберемко,Данна,Тимофіївна,female,1995-08-05,Інженер з якості,місто Бердичів,"провулок Велика Арнаутська, буд. 4 кв. 671, Жданівка, 10684",017 551-87-59,tkachenkoliliia@example.com
Орлик,Борис,Леонідович,male,1957-10-23,Офіс-менеджер,хутір Погребище,"узвіз Аеропортівський 5-й, буд. 815 кв. 724, Іллінці, 44957",+380 (86) 106-24-51,arsen41@example.com
Затула,Лариса,Костянтинівна,female,1974-03-27,Аналітик даних,місто Чигирин,"набережна Ювілейний 1-й, буд. 6, Острог, 75636",001 141 60 15,dubynaodarka@example.org
Тимченко,Анжела,Данилівна,female,1956-06-06,Менеджер з продажу,село Ходорів,"шосе Петрашевського, буд. 9 кв. 59, Каховка, 90076",012 224-96-93,mazepamilena@example.net
Дерегус,Болеслав,Тимофійович,male,1946-11-21,Асистент керівника,селище Таврійськ,"проспект Ромашкова, буд. 13, Глухів, 84480",+380 64 839-62-90,fedir12@example.net
Сагаль,Євген,Тимофійович,male,1996-01-20,Менеджер з продажу,селище Красноперекопськ,"парк Кутузова, буд. 087 кв. 0, Щастя , 60303",615 45 56,vyshniakvarfolomii@example.net
Чекалюк,Вʼячеслав,Тарасович,male,1951-02-08,Програміст,село Коломия,"шосе Французький, буд. 66 кв. 844, Покров, 46685",392 54 29,iurchyshynkhoma@example.com
Гаврилюк,Веніямин,Олексійович,male,1967-09-19,Фінансовий аналітик,селище Броди,"узвіз Кінна, буд. 0 кв. 05, Красноград, 06030",+380 99 093-17-42,liudmylaoberemko@example.org
Скиба,Дарина,Максимівна,female,1991-07-20,Бухгалтер,селище Білозерське,"сквер Жоліо-Кюрі, буд. 9, Горлівка, 59803",+380 50 498-59-96,artemsamoilenko@example.org
Бабич,Ада,Євгенівна,female,1994-06-23,Програміст,селище Чоп,"набережна Лінія 48-ма, буд. 796, Підгородне, 33975",075 719-70-68,mykhailoivashchenko@example.net
Андрієвич,Олесь,Петрович,male,2007-10-08,Архітектор,хутір Сєвєродонецьк,"провулок Щукіна, буд. 48 кв. 2, Овруч, 32316",096 947 09 93,liudmyla13@example.com
Вахній,Хома,Данилович,male,1998-01-21,HR-менеджер,селище Шпола,"проспект 6-та Суворовська, буд. 333 кв. 68, Міусинськ, 62723",834-82-56,nvashchenko@example.net
Макогон,Наталія,Григоріївна,female,1960-04-10,Менеджер з маркетингу,хутір Люботин,"набережна Дачний 1-й, буд. 4, Макіївка, 66898",042 659-32-90,rtaran@example.com
Алексеєнко,Анжела,Борисівна,female,1953-06-04,Інженер з якості,село Чистякове,"вулиця Лазурний 1-й, буд. 78, Бердичів, 20227",085-89-08,artymyshyniefrem@example.com
Ейбоженко,Тетяна,Вікторівна,female,1992-04-24,HR-менеджер,місто Бахчисарай,"вулиця Кримський, буд. 505, Стебник, 50218",048 153 24 27,zmasokha@example.org
Радченко,Демид,Павлович,male,1949-02-01,Менеджер з продажу,село Бердичів,"вулиця Жуковського, буд. 60, Болехів, 82682",+380 41 105-82-98,orkhypdubyna@example.org
Хмара,Микита,Володимирович,male,1995-10-27,Системний адміністратор,селище Іловайськ,"сквер Проточний, буд. 772 кв. 9, Городня, 08277",+380 (71) 260-43-10,demianchukamvrosii@example.org
Козаченко,Леонід,Іванович,male,2006-07-03,Інженер з якості,селище Єнакієве,"проспект Олександра Невського 3-й, буд. 65, Київ, 17795",+380 39 696-86-32,mbashtan@example.org
Батюк,Ярослав,Григорійович,male,1956-02-25,Офіс-менеджер,хутір Дубляни,"шосе Матроська Слобідка, буд. 3 кв. 596, Куп'янськ, 64076",+380 22 657-20-16,danylenkoborys@example.com
Павличенко,Єфрем,Іванович,male,1971-07-11,PR-менеджер,місто Заліщики,"парк Бучми, буд. 386, Оріхів, 65813",008 480 12 56,davydenkobohdanna@example.org
Їжакевич,Едуард,Павлович,male,1989-07-29,Копірайтер,місто Молодогвардійськ,"парк Жоліо-Кюрі, буд. 719 кв. 912, Євпаторія, 91072",561-87-64,chabanherman@example.net
Іванченко,Любов,Данилівна,female,1987-12-23,Бухгалтер,хутір Помічна,"площа Університетський, буд. 953, Ніжин, 97362",+380 32 641-67-24,ronyshchenko@example.com
Зінченко,Климент,Олегович,male,1959-08-08,Асистент керівника,селище Южне,"узвіз Соляний 5-й, буд. 05, Берестечко, 10678",003 209 56 90,markopryimak@example.net
Артюх,Валентин,Петрович,male,2008-03-23,Дизайнер,місто Олександрія,"узвіз Преображенська, буд. 05, Амвросіївка, 89701",+380 (05) 098-54-91,arsen04@example.net
Баранник,Амалія,Володимирівна,female,1983-12-24,Фінансовий аналітик,хутір Верхівцеве,"узвіз Цимлянська, буд. 8 кв. 57, Глухів, 13555",+380 (70) 093-74-08,ilienkotereza@example.org
Остапчук,Віталій,Назарович,male,1958-08-08,Бухгалтер,селище Вилкове,"проспект Стахановський 4-й, буд. 566 кв. 2, Жидачів, 52658",+380 98 108 76 32,alla37@example.com
Дашкевич,Лесь,Олегович,male,1939-01-22,Бухгалтер,хутір Заводське,"сквер Східчастий 4-й, буд. 915, Снігурівка, 13149",+380 13 084-86-10,edytahavrylets@example.com
Давимука,Амалія,Юріївна,female,1993-04-02,Копірайтер,село Носівка,"сквер Десантний, буд. 629, Бібрка, 29114",021 979-59-74,kdanylchuk@example.org
Верхола,Богуслава,Федорівна,female,1983-01-19,Системний адміністратор,місто Одеса,"сквер Чапаєва, буд. 5 кв. 228, Добропілля, 77140",164-05-53,iustymtsybulenko@example.org
Андріїшин,Аарон,Максимович,male,1996-04-25,Системний адміністратор,місто Баштанка,"шосе Шкільний аеродром, буд. 8 кв. 412, Здолбунів, 58256",+380 (23) 606-21-86,gshvachko@example.com
Оліфіренко,Віолетта,Олегівна,female,1948-07-31,Дизайнер,місто Болехів,"площа Шкодова гора, буд. 81, Кам'янка-Бузька, 90846",+380 71 537-46-36,xpetryk@example.org
Сірченко,Софія,Захарівна,female,1948-08-21,Менеджер з продажу,село Білгород-Дністровський,"шосе Профспілкова, буд. 81 кв. 664, Тячів, 27405",+380 (03) 112-38-57,yvlokh@example.net
Кармалюк,Орхип,Володимирович,male,1962-07-06,Тестувальник,село Покров,"узвіз Бодаревського, буд. 0, Бердичів, 01729",043 757 00 40,khomykieva@example.net
Ґереґа,Гліб,Борисович,male,1955-07-18,Тестувальник,місто Білопілля,"провулок Лип Івана та Юрія, буд. 16, Дніпрорудне, 64379",006 141-52-48,xvivcharenko@example.net
